sysid, healthScore, "capacity_total_freePct", "delAcksPct", "portReadBandwidthMBPS", "portWriteBandwidthMBPS", "cpuLatestTotalAvgPct", "cpuLatestTotalMaxPct", "nodeCountOffline", "nodeCountMissing", "ddsSizeUsedTiB"
2883, 98.19905, 0.0, 0.0, 1.5753791, 0.22556701, 0.0, 0.0, 0.0, 0.0, 0.0
2638, 95.67527, 0.0, 0.0, 1.6255343, 0.2233182, 1.6241246, 0.8517513, 0.0, 0.0, 0.0
1427, 62.714165, 36.258507, 0.0, 0.8101956, 0.21670394, 0.0, 0.0, 0.0, 0.0, 4.2551316E-4
9, 98.356636, 0.0, 0.0032376533, 1.6401296, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
1309, 98.15166, 0.0, 1.3379946, 0.29958478, 0.2107666, 0.0, 0.0, 0.0, 0.0, 0.0
3837, 85.44803, 0.0, 0.0, 11.347782, 0.31905156, 1.8783549, 1.0067805, 0.0, 0.0, 1.4306921E-6
1182, 65.57559, 34.42441, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
505, 86.116, 3.9269373, 1.3284848, 8.595896, 0.0, 0.025774429, 0.006914526, 0.0, 0.0, 0.0
2297, 77.99486, 19.989506, 0.0, 1.808659, 0.20696928, 0.0, 0.0, 0.0, 0.0, 6.5165923E-6
1091, 94.16447, 2.7281475, 0.0, 0.0, 0.0, 1.839957, 1.2674298, 0.0, 0.0, 0.0
560, 77.074265, 0.0, 0.0, 19.995802, 0.0, 1.7893237, 1.1406121, 0.0, 0.0, 0.0
3253, 89.58249, 6.2780495, 0.0, 1.3090653, 0.1773021, 1.7939138, 0.8517513, 0.0, 0.0, 0.0074290736
2791, 92.968575, 0.0, 1.2048314, 4.6861005, 0.3057498, 0.6356398, 0.19910505, 0.0, 0.0, 0.0
986, 88.45752, 11.071654, 0.0, 0.26677364, 0.2040513, 0.0, 0.0, 0.0, 0.0, 0.0
1102, 96.03656, 0.0, 1.1231451, 1.2280457, 0.14658518, 0.74013215, 0.46697342, 0.0, 0.0, 0.258557
3352, 99.2701, 0.0, 0.0, 0.72989357, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
95, 99.370415, 0.0, 0.0, 0.4485966, 0.18099241, 0.0, 0.0, 0.0, 0.0, 0.0
2132, 86.32388, 13.676117, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
567, 97.89563, 0.0, 0.0, 0.7412911, 0.0, 0.8935211, 0.46835095, 0.0, 0.0, 0.0012038504
1791, 70.5717, 27.928307, 0.0, 1.2854507, 0.21454252, 0.0, 0.0, 0.0, 0.0, 1.5893175E-6
2001, 85.96326, 12.344482, 0.0, 0.13898543, 0.15724202, 1.0125918, 0.38344058, 0.0, 0.0, 5.326627E-10
474, 98.8155, 0.0, 0.0, 0.9894578, 0.19504422, 0.0, 0.0, 0.0, 0.0, 0.0
509, 98.41754, 0.0, 0.0, 1.5824564, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2764, 98.25364, 0.0, 0.0, 1.5521909, 0.19416794, 0.0, 0.0, 0.0, 0.0, 0.0
656, 79.88138, 0.0, 0.0, 19.711311, 0.40730804, 0.0, 0.0, 0.0, 0.0, 1.698234E-6
3355, 94.32438, 4.9138465, 0.0, 0.27994636, 0.48182505, 0.0, 0.0, 0.0, 0.0, 0.0
658, 61.800465, 2.8476784, 0.0, 20.0, 15.07611, 0.1330991, 0.14264502, 0.0, 0.0, 3.887587E-9
3005, 91.19445, 7.0068493, 0.0, 1.5543201, 0.24438187, 0.0, 0.0, 0.0, 0.0, 0.0
871, 83.1301, 0.0, 0.0, 16.028423, 0.8414828, 0.0, 0.0, 0.0, 0.0, 0.0
2391, 93.06427, 4.0257025, 1.0020891, 1.6548442, 0.25309315, 0.0, 0.0, 0.0, 0.0, 0.0
3239, 98.20614, 0.0, 0.0, 1.5543201, 0.23953764, 0.0, 0.0, 0.0, 0.0, 0.0
678, 43.87616, 55.913055, 0.0, 0.0, 0.0, 0.1476852, 0.06310022, 0.0, 0.0, 6.4316565E-19
3863, 78.55025, 0.0, 0.0, 19.715784, 1.7339735, 0.0, 0.0, 0.0, 0.0, 0.0
2175, 76.59961, 0.0, 0.0, 19.96726, 3.4331334, 0.0, 0.0, 0.0, 0.0, 0.0
1109, 65.24713, 14.217726, 0.0, 19.503149, 0.77894044, 0.20625837, 0.019712297, 0.0, 0.0, 0.027079562
449, 48.083794, 17.01659, 1.2780781, 19.99949, 13.622049, 0.0, 0.0, 0.0, 0.0, 0.0
2219, 61.219574, 1.3874451, 1.276023, 20.0, 14.309315, 1.8076442, 0.0, 0.0, 0.0, 0.0
2435, 81.557465, 2.3852007, 1.2310926, 14.222718, 0.3032771, 0.22793427, 0.07231125, 0.0, 0.0, 0.0
2378, 72.06052, 25.270798, 0.0, 0.82428914, 0.19612612, 1.11869, 0.42368194, 0.0, 0.0, 0.10590078
